vendedor,precio,habitaciones,metros,planta,garage,ascensor,ubicacion,numero_planta,valor_garage,precio_total
Particular,840000,4,114,Planta 3ª interior con ascensor,False,True,Interior,3.0,0,840000
Agencia,1260000,4,124,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1260000
Particular,635000,4,147,No especificado,True,False,No especificado,,0,635000
Particular,1590000,4,200,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,1590000
Agencia,599000,4,90,exterior con ascensor,False,True,Exterior,,0,599000
Particular,320000,4,67,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,320000
Particular,3650000,4,258,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,3650000
Particular,685000,4,139,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,685000
Particular,768000,4,94,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,768000
Particular,994000,4,128,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,994000
Particular,1849000,4,198,Planta 4ª interior con ascensor,True,True,Interior,4.0,0,1849000
Agencia,3464000,4,242,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,3464000
Agencia,3468000,4,242,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,3468000
Agencia,599000,4,90,Bajo exterior con ascensor,False,True,Exterior,0.0,0,599000
Particular,399000,4,98,Planta 10ª exterior con ascensor,True,True,Exterior,10.0,0,399000
Agencia,590000,4,73,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,590000
Agencia,350000,4,119,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,350000
Agencia,1080000,4,155,Planta 9ª exterior con ascensor,True,True,Exterior,9.0,0,1080000
Agencia,1489000,4,155,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1489000
Agencia,1290000,4,179,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,1290000
Particular,1395000,4,183,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,1395000
Particular,790000,4,92,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,790000
Agencia,267000,4,86,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,267000
Agencia,599000,4,136,Planta 8ª exterior con ascensor,False,True,Exterior,8.0,0,599000
Particular,1240000,4,142,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1240000
Particular,950000,4,197,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,950000
Agencia,180600,4,86,Bajo exterior con ascensor,False,True,Exterior,0.0,0,180600
Agencia,3695000,4,395,Planta 6ª con ascensor,False,True,No especificado,6.0,0,3695000
Agencia,599000,4,90,Bajo exterior con ascensor,False,True,Exterior,0.0,0,599000
Particular,1470000,4,163,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,1470000
Particular,659000,4,148,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,659000
Agencia,1390000,4,155,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,1390000
Particular,790000,4,92,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,790000
Agencia,324000,4,115,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,324000
Particular,655000,4,225,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,655000
Particular,665000,4,129,Planta 9ª exterior con ascensor,False,True,Exterior,9.0,0,665000
Agencia,2168000,4,200,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,2168000
Particular,205000,4,94,Semi-sótano exterior sin ascensor,False,False,Exterior,,0,205000
Particular,815000,4,150,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,815000
Particular,715000,4,121,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,715000
Particular,1275000,4,139,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,1275000
Agencia,690000,4,160,Bajo exterior con ascensor,False,True,Exterior,0.0,0,690000
Agencia,1635000,4,198,Planta 8ª exterior con ascensor,True,True,Exterior,8.0,60000,1695000
Agencia,1925000,4,230,No especificado,True,False,No especificado,,0,1925000
Agencia,850000,4,147,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,850000
Agencia,459000,4,115,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,459000
Particular,430000,4,131,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,430000
Agencia,550000,4,101,Bajo exterior con ascensor,True,True,Exterior,0.0,0,550000
Agencia,395000,4,155,Planta 2ª exterior sin ascensor,True,False,Exterior,2.0,0,395000
Particular,640000,4,108,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,640000
Agencia,1150000,4,177,Planta 9ª exterior con ascensor,True,True,Exterior,9.0,0,1150000
Agencia,1050000,4,148,Planta 9ª exterior con ascensor,False,True,Exterior,9.0,0,1050000
Agencia,715000,4,131,Planta 11ª exterior con ascensor,True,True,Exterior,11.0,0,715000
Particular,459000,4,84,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,459000
Agencia,1800000,4,222,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,1800000
Particular,2850000,4,193,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,2850000
Particular,750000,4,123,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,750000
Particular,2200000,4,189,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,2200000
Particular,2380000,4,279,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,2380000
Agencia,459000,4,120,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,459000
Agencia,250000,4,110,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,250000
Agencia,599000,4,90,Bajo exterior con ascensor,False,True,Exterior,0.0,0,599000
Agencia,479900,4,105,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,479900
Agencia,389000,4,119,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,389000
Agencia,950000,4,124,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,950000
Particular,682000,4,116,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,682000
Agencia,289000,4,77,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,289000
Particular,1780000,4,199,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1780000
Agencia,995000,4,105,Planta 6ª interior con ascensor,False,True,Interior,6.0,0,995000
Agencia,749900,4,137,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,749900
Particular,289000,4,111,Entreplanta exterior con ascensor,False,True,Exterior,0.0,0,289000
Agencia,1249000,4,162,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,1249000
Agencia,1080000,4,173,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,28000,1108000
Particular,399000,4,65,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,399000
Particular,299999,4,68,Planta 4ª exterior sin ascensor,False,False,Exterior,4.0,0,299999
Particular,890000,4,155,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,890000
Particular,1000000,4,130,Planta 3ª interior con ascensor,False,True,Interior,3.0,0,1000000
Particular,760000,4,154,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,760000
Particular,775000,4,120,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,775000
Particular,1398000,4,215,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,1398000
Particular,1895000,4,300,Planta 24ª exterior con ascensor,True,True,Exterior,24.0,0,1895000
Agencia,600000,3,78,Planta 3ª interior con ascensor,False,True,Interior,3.0,0,600000
Agencia,250000,3,90,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,250000
Agencia,650000,3,106,Planta 4ª interior con ascensor,False,True,Interior,4.0,0,650000
Agencia,1850000,3,216,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1850000
Agencia,1199000,3,130,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,1199000
Particular,3200000,3,220,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,3200000
Agencia,670000,3,87,Planta 3ª interior con ascensor,False,True,Interior,3.0,0,670000
Particular,375000,3,79,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,375000
Particular,825000,3,152,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,825000
Agencia,1600000,3,140,exterior con ascensor,False,True,Exterior,,0,1600000
Agencia,192100,3,82,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,192100
Particular,239200,3,61,sin ascensor,False,False,No especificado,,0,239200
Particular,200000,3,66,sin ascensor,False,False,No especificado,,0,200000
Particular,192100,3,82,sin ascensor,False,False,No especificado,,0,192100
Particular,188900,3,72,sin ascensor,False,False,No especificado,,0,188900
Particular,263900,3,83,sin ascensor,False,False,No especificado,,0,263900
Particular,263900,3,83,sin ascensor,False,False,No especificado,,0,263900
Particular,1020000,3,184,sin ascensor,False,False,No especificado,,0,1020000
Particular,238000,3,60,sin ascensor,False,False,No especificado,,0,238000
Particular,202300,3,72,sin ascensor,False,False,No especificado,,0,202300
Particular,147300,3,74,sin ascensor,False,False,No especificado,,0,147300
Particular,248400,3,108,sin ascensor,False,False,No especificado,,0,248400
Particular,240300,3,88,sin ascensor,False,False,No especificado,,0,240300
Particular,261900,3,97,sin ascensor,False,False,No especificado,,0,261900
Particular,280000,3,70,con ascensor,False,True,No especificado,,0,280000
Particular,149600,3,56,sin ascensor,False,False,No especificado,,0,149600
Particular,103000,3,79,sin ascensor,False,False,No especificado,,0,103000
Particular,188900,3,72,sin ascensor,False,False,No especificado,,0,188900
Particular,393000,3,93,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,393000
Particular,263900,3,83,sin ascensor,False,False,No especificado,,0,263900
Particular,1020000,3,184,sin ascensor,False,False,No especificado,,0,1020000
Particular,238000,3,60,sin ascensor,False,False,No especificado,,0,238000
